#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA    ,137925    ,D7925  ,  0,  5,16.25, 0.24,  1.36,  0.04, 0.30, 0.05, 1.40, 0.00, 1.27, 0.10, 0.29,  4,  5
NEA    ,140288    ,E0288  ,  0, 13,16.84, 0.24,  1.26,  0.03, 0.20, 0.04, 1.40, 0.00, 1.03, 0.10, 0.34,  8,  8
NEA    ,140288    ,E0288  ,  0, 13,16.84, 0.24,  1.21,  0.45, 0.22, 0.23, 1.40, 0.50, 1.60, 0.10, 0.74,  0,  5
NEA    ,141484    ,E1484  ,  0, 25,16.64, 0.24,  1.00,  0.04, 0.39, 0.05, 1.40, 0.00, 1.44, 0.10, 0.26,  8,  9
NEA    ,141484    ,E1484  ,  0, 25,16.64, 0.24,  1.02,  0.03, 0.37, 0.04, 1.40, 0.00, 1.59, 0.10, 0.39, 16, 16
NEA    ,142040    ,E2040  ,  0, 44,16.31, 0.24,  1.26,  0.04, 0.34, 0.04, 1.40, 0.00, 1.71, 0.10, 0.36, 43, 44
NEA    ,152679    ,F2679  ,  0, 29,16.43, 0.12,  4.18,  0.01, 0.03, 0.00, 1.40, 0.00, 7.21, 0.10, 1.22, 29, 29
NEA    ,152978    ,F2978  ,  0, 13,19.73, 0.24,  0.32,  0.07, 0.23, 0.13, 1.40, 0.32, 1.60, 0.10, 0.74,  0,  8
NEA    ,152978    ,F2978  ,  0, 13,19.73, 0.24,  0.37,  0.14, 0.17, 0.14, 1.40, 0.47, 1.60, 0.10, 0.57,  0,  5
NEA    ,153195    ,F3195  ,  0, 21,17.94, 0.24,  1.32,  0.55, 0.07, 0.07, 1.40, 0.47, 1.60, 0.10, 0.77,  0, 14
NEA    ,153195    ,F3195  ,  0, 21,17.94, 0.24,  1.60,  0.59, 0.05, 0.04, 1.40, 0.39, 1.60, 0.10, 0.45,  0,  7
