#Ast,Name,MPC,1st,HMag,G
NEA ,      25916,25916       ,  0,13.6 ,0.15
NEA ,      26379,26379       ,  0,18.0 ,0.15
NEA ,      26663,26663       ,  0,18.1 ,0.15
NEA ,      27346,27346       ,  0,15.9 ,0.15
NEA ,      31221,31221       ,  0,17.2 ,0.15
NEA ,      31346,31346       ,  0,17.2 ,0.15
NEA ,      31662,31662       ,  0,19.4 ,0.15
NEA ,      32906,32906       ,  0,15.8 ,0.15
NEA ,      33342,33342       ,  0,17.9 ,0.15
NEA ,      34613,34613       ,  0,16.0 ,0.15
NEA ,      35107,35107       ,  0,16.7 ,0.15
NEA ,      35396,35396       ,  0,16.9 ,0.15
NEA ,      36183,36183       ,  0,16.2 ,0.15
NEA ,      36236,36236       ,  0,15.9 ,0.15
NEA ,      36284,36284       ,  0,14.9 ,0.15
NEA ,      37655,37655       ,  0,17.9 ,0.15
NEA ,      38086,38086       ,  0,17.4 ,0.15
NEA ,      39557,39557       ,  0,17.0 ,0.15
NEA ,      39565,39565       ,  0,18.4 ,0.15
NEA ,      39796,39796       ,  0,15.8 ,0.15
NEA ,      40263,40263       ,  0,17.7 ,0.15
NEA ,      40267,40267       ,  0,15.5 ,0.15
NEA ,      40329,40329       ,  0,17.7 ,0.15
NEA ,      42286,42286       ,  0,16.5 ,0.15
NEA ,      52340,52340       ,  0,17.8 ,0.15
NEA ,      52381,52381       ,  0,20.0 ,0.15
NEA ,      52387,52387       ,  0,17.8 ,0.15
NEA ,      52750,52750       ,  0,16.5 ,0.15
NEA ,      52760,52760       ,  0,17.5 ,0.15
NEA ,      52761,52761       ,  0,17.9 ,0.15
NEA ,      52762,52762       ,  0,14.8 ,0.15
NEA ,      52768,52768       ,  0,15.9 ,0.15
NEA ,      53110,53110       ,  0,16.8 ,0.15
NEA ,      53409,53409       ,  0,18.7 ,0.15
NEA ,      53429,53429       ,  0,18.9 ,0.15
NEA ,      53430,53430       ,  0,16.7 ,0.15
NEA ,      53435,53435       ,  0,14.7 ,0.15
NEA ,      53789,53789       ,  0,17.4 ,0.15
NEA ,      54071,54071       ,  0,17.2 ,0.15
NEA ,      54401,54401       ,  0,17.1 ,0.15
NEA ,      54509,54509       ,  0,22.7 ,0.15
NEA ,      54660,54660       ,  0,18.0 ,0.15
NEA ,      54686,54686       ,  0,16.5 ,0.15
NEA ,      54690,54690       ,  0,17.1 ,0.15
NEA ,      54789,54789       ,  0,15.0 ,0.15
NEA ,      55408,55408       ,  0,18.6 ,0.15
NEA ,      55532,55532       ,  0,16.0 ,0.15
NEA ,      65679,65679       ,  0,19.4 ,0.15
NEA ,      65690,65690       ,  0,19.1 ,0.15
NEA ,      65717,65717       ,  0,20.8 ,0.15
NEA ,      65733,65733       ,  0,18.4 ,0.15
NEA ,      66251,66251       ,  0,16.9 ,0.15
NEA ,      66272,66272       ,  0,17.1 ,0.15
NEA ,      66400,66400       ,  0,19.3 ,0.15
NEA ,      66407,66407       ,  0,18.9 ,0.15
NEA ,      66959,66959       ,  0,16.6 ,0.15
NEA ,      67367,67367       ,  0,17.0 ,0.15
NEA ,      67367,67367       ,  0,17.0 ,0.15
NEA ,      67367,67367       ,  0,17.0 ,0.15
NEA ,      67381,67381       ,  0,19.8 ,0.15
NEA ,      68031,68031       ,  0,18.1 ,0.15
NEA ,      68063,68063       ,  0,15.5 ,0.15
NEA ,      68063,68063       ,  0,15.5 ,0.15
NEA ,      68216,68216       ,  0,16.5 ,0.15
NEA ,      68267,68267       ,  0,16.8 ,0.15
NEA ,      68346,68346       ,  0,16.9 ,0.15
NEA ,      68347,68347       ,  0,19.9 ,0.15
NEA ,      68348,68348       ,  0,14.3 ,0.15
NEA ,      68350,68350       ,  0,15.9 ,0.15
NEA ,      68359,68359       ,  0,17.9 ,0.15
NEA ,      68372,68372       ,  0,18.8 ,0.15
NEA ,      69230,69230       ,  0,17.5 ,0.15
NEA ,      85184,85184       ,  0,18.4 ,0.15
NEA ,      85275,85275       ,  0,16.2 ,0.15
NEA ,      85585,85585       ,  0,21.6 ,0.15
NEA ,      85709,85709       ,  0,15.9 ,0.15
NEA ,      85774,85774       ,  0,19.2 ,0.15
NEA ,      85804,85804       ,  0,15.3 ,0.15
NEA ,      85818,85818       ,  0,15.5 ,0.15
NEA ,      85839,85839       ,  0,16.4 ,0.15
NEA ,      85938,85938       ,  0,18.6 ,0.15
NEA ,      85953,85953       ,  0,18.1 ,0.15
NEA ,      85989,85989       ,  0,17.1 ,0.15
NEA ,      85990,85990       ,  0,20.2 ,0.15
NEA ,      86067,86067       ,  0,16.4 ,0.15
NEA ,      86326,86326       ,  0,17.3 ,0.15
NEA ,      86667,86667       ,  0,17.6 ,0.15
NEA ,      86878,86878       ,  0,17.6 ,0.15
NEA ,      87024,87024       ,  0,18.7 ,0.15
NEA ,      87025,87025       ,  0,18.1 ,0.15
NEA ,      87309,87309       ,  0,17.6 ,0.15
NEA ,      87684,87684       ,  0,16.1 ,0.15
NEA ,      88213,88213       ,  0,19.4 ,0.15
NEA ,      88254,88254       ,  0,17.6 ,0.15
NEA ,      88263,88263       ,  0,15.6 ,0.15
NEA ,      88710,88710       ,  0,17.6 ,0.15
NEA ,      88959,88959       ,  0,17.4 ,0.15
NEA ,      89355,89355       ,  0,15.7 ,0.15
NEA ,      89355,89355       ,  0,15.7 ,0.15
NEA ,      89830,89830       ,  0,14.9 ,0.15
NEA ,      89958,89958       ,  0,17.0 ,0.15
NEA ,      90075,90075       ,  0,15.3 ,0.15
NEA ,      90147,90147       ,  0,18.3 ,0.15
