#Ast,Name,MPC,1st,Nobs,HMag,G,Diam,e_Diam,pV,e_pV,eta,e_eta,pIR/pV,e_pIR/pV,W2amp,N1,N2
NEA ,2010   CO1,K10C01O,  0, 14,21.80, 0.15,  0.29,  0.15, 0.04, 0.06, 1.00, 0.67, 1.60, 0.10, 0.43,  0, 13
NEA ,2010  LF86,K10L86F,  8,  5,17.20, 0.15,  2.56,  1.22, 0.04, 0.05, 1.40, 0.50, 1.60, 0.10, 0.49,  0,  5
NEA ,2010   UB8,K10U08B,  0, 22,19.60, 0.15,  0.92,  0.08, 0.03, 0.01, 1.16, 0.09, 1.60, 0.10, 0.16,  7,  7
NEA ,2010   UB8,K10U08B,  0, 22,19.60, 0.15,  0.88,  0.42, 0.03, 0.05, 1.00, 0.61, 1.60, 0.10, 0.37,  0, 15
NEA ,2010   YD3,K10Y03D,  0, 12,20.00, 0.15,  0.76,  0.35, 0.03, 0.04, 1.40, 0.52, 1.60, 0.10, 0.54,  0, 12
NEA ,2011  AM24,K11A24M,  0, 23,20.50, 0.15,  0.50,  0.01, 0.04, 0.01, 1.40, 0.01, 0.47, 0.10, 0.49,  8,  8
NEA ,2011  AM24,K11A24M,  0, 23,20.50, 0.15,  0.51,  0.01, 0.04, 0.01, 1.40, 0.01, 0.94, 0.10, 0.47, 14, 15
NEA ,2011  HJ61,K11H61J,  0, 13,19.30, 0.15,  1.28,  0.57, 0.02, 0.04, 1.40, 0.47, 1.60, 0.10, 0.97,  0, 13
NEA ,2011   JU2,K11J02U,  0,  4,18.40, 0.15,  1.49,  0.56, 0.03, 0.06, 1.40, 0.42, 1.60, 0.10, 0.77,  0,  4
NEA ,2011   OL5,K11O05L,  0, 51,20.20, 0.15,  0.28,  0.08, 0.19, 0.16, 1.40, 0.42, 1.60, 0.10, 1.05,  0, 36
NEA ,2011   OL5,K11O05L,  0, 51,20.20, 0.15,  0.28,  0.11, 0.19, 0.16, 1.40, 0.51, 1.60, 0.10, 0.60,  0, 13
NEA ,2011   VQ5,K11V05Q,  0, 18,20.10, 0.15,  0.56,  0.23, 0.05, 0.08, 1.40, 0.50, 1.60, 0.10, 0.85,  0, 18
NEA ,2011  YB40,K11Y40B,  0,  5,19.10, 0.15,  0.42,  0.12, 0.22, 0.17, 1.40, 0.42, 1.60, 0.10, 0.38,  0,  5
NEA ,2012   OD1,K12O01D,  0,  5,18.60, 0.15,  0.35,  0.09, 0.54, 0.26, 1.40, 0.44, 1.60, 0.10, 0.36,  0,  5
NEA ,2014  JY24,K14J24Y,  0, 15,18.30, 0.15,  1.92,  1.01, 0.02, 0.05, 1.40, 0.55, 1.60, 0.10, 0.37,  0, 15
NEA ,2014 QK434,K14Qh4K,  0,  5,19.10, 0.15,  0.30,  0.01, 0.46, 0.05, 1.40, 0.00, 0.83, 0.10, 0.41,  5,  5
NEA ,2014  TA36,K14T36A,  0, 11,20.70, 0.15,  0.55,  0.23, 0.03, 0.03, 1.40, 0.49, 1.60, 0.10, 0.69,  0, 11
NEA ,2014    US,K14U00S,  0, 30,19.10, 0.15,  0.47,  0.15, 0.19, 0.26, 1.40, 0.46, 1.60, 0.10, 0.30,  0, 16
NEA ,2014    US,K14U00S,  0, 30,19.10, 0.15,  0.56,  0.19, 0.13, 0.08, 1.40, 0.42, 1.60, 0.10, 0.38,  0, 14
NEA ,2014  UV33,K14U33V,  0, 24,17.90, 0.15,  0.82,  0.02, 0.18, 0.03, 1.40, 0.00, 3.29, 0.10, 1.58, 20, 24
NEA ,2014 UF206,K14UK6F, 19, 69,18.80, 0.15,  1.52,  0.68, 0.02, 0.02, 1.00, 0.53, 1.60, 0.10, 0.68,  0, 46
NEA ,2014 UF206,K14UK6F, 19, 69,18.80, 0.15,  1.29,  0.06, 0.03, 0.01, 1.12, 0.05, 1.60, 0.10, 0.16, 23, 23
NEA ,2014 WF365,K14Wa5F,  0,  7,17.20, 0.15,  2.18,  0.02, 0.05, 0.01, 1.40, 0.00, 1.39, 0.10, 0.20,  7,  7
NEA ,2014   XR6,K14X06R,  0, 10,18.30, 0.15,  0.86,  0.29, 0.11, 0.17, 1.40, 0.45, 1.60, 0.10, 0.56,  0, 10
NEA ,2014  XX31,K14X31X,  9,  6,17.50, 0.15,  1.49,  0.53, 0.08, 0.06, 1.40, 0.39, 1.60, 0.10, 0.67,  0,  6
NEA ,2014  YJ14,K14Y14J,  0,  7,18.30, 0.15,  1.91,  0.12, 0.02, 0.01, 1.12, 0.06, 1.60, 0.10, 0.12,  7,  7
NEA ,2014  YS14,K14Y14S,  0,  5,21.10, 0.15,  0.30,  0.12, 0.07, 0.09, 1.40, 0.51, 1.60, 0.10, 0.57,  0,  5
NEA ,2014  YT14,K14Y14T,  0, 18,18.90, 0.15,  1.16,  0.47, 0.04, 0.02, 1.00, 0.52, 1.60, 0.10, 0.95,  0, 18
NEA ,2014  YS34,K14Y34S,  0,  5,20.80, 0.15,  0.13,  0.03, 0.50, 0.23, 1.40, 0.41, 1.60, 0.10, 0.46,  0,  5
NEA ,2014  YB35,K14Y35B,  0,  6,19.00, 0.15,  0.28,  0.01, 0.57, 0.07, 1.40, 0.00, 1.31, 0.10, 0.52,  6,  6
NEA ,2014  YR43,K14Y43R,  0,  9,19.50, 0.15,  0.37,  0.13, 0.20, 0.13, 1.40, 0.47, 1.60, 0.10, 0.36,  0,  9
NEA ,2015  AC17,K15A17C,  0, 34,19.90, 0.15,  0.67,  0.28, 0.04, 0.04, 1.00, 0.57, 1.60, 0.10, 0.67,  0, 34
NEA ,2015 AY245,K15AO5Y,  0, 73,21.20, 0.15,  0.37,  0.03, 0.04, 0.02, 1.40, 0.12, 8.64, 0.10, 0.43, 13, 13
NEA ,2015 AY245,K15AO5Y,  0, 73,21.20, 0.15,  0.39,  0.18, 0.04, 0.09, 1.40, 0.59, 1.60, 0.10, 2.84,  0, 60
NEA ,2015 AK280,K15AS0K,  0,  4,21.80, 0.15,  0.36,  0.12, 0.03, 0.04, 1.40, 0.41, 1.60, 0.10, 0.36,  0,  4
NEA ,2015 BY516,K15Bp6Y,  0,  8,22.30, 0.15,  0.24,  0.12, 0.04, 0.03, 1.00, 0.64, 1.60, 0.10, 0.55,  0,  8
NEA ,2015  CV13,K15C13V,  0,  8,20.30, 0.15,  0.44,  0.13, 0.07, 0.04, 1.40, 0.35, 1.60, 0.10, 0.69,  0,  8
NEA ,2015 DE176,K15DH6E,  0, 13,19.70, 0.15,  0.68,  0.04, 0.05, 0.01, 1.40, 0.07, 0.21, 0.10, 0.19,  9,  9
NEA ,2015 DE176,K15DH6E,  0, 13,19.70, 0.15,  0.57,  0.29, 0.07, 0.11, 1.40, 0.59, 1.60, 0.10, 0.25,  0,  4
NEA ,2015 DX198,K15DJ8X,  0,  9,22.00, 0.15,  0.35,  0.10, 0.02, 0.02, 1.40, 0.38, 1.60, 0.10, 1.31,  0,  9
NEA ,2015    EZ,K15E00Z,  0, 10,20.30, 0.15,  0.19,  0.05, 0.36, 0.19, 1.40, 0.39, 1.60, 0.10, 0.62,  0, 10
NEA ,2015  FZ35,K15F35Z,  0,  5,19.40, 0.15,  0.64,  0.21, 0.08, 0.11, 1.40, 0.41, 1.60, 0.10, 0.57,  0,  5
NEA ,2015 FY117,K15FB7Y,  0, 44,21.30, 0.15,  0.38,  0.17, 0.04, 0.04, 1.00, 0.60, 1.60, 0.10, 0.62,  0, 43
NEA ,2015 FH120,K15FC0H,  0, 12,18.70, 0.15,  0.75,  0.26, 0.11, 0.11, 1.40, 0.46, 1.60, 0.10, 0.25,  0, 11
NEA ,2015 FU332,K15FX2U,  0,  9,17.20, 0.15,  0.94,  0.36, 0.26, 0.27, 1.40, 0.53, 1.60, 0.10, 0.47,  0,  9
NEA ,2015 FD341,K15FY1D,  0,  4,17.70, 0.15,  1.25,  0.48, 0.09, 0.08, 1.40, 0.43, 1.60, 0.10, 0.77,  0,  4
NEA ,2015 FT344,K15FY4T,  0, 11,19.90, 0.15,  0.75,  0.24, 0.03, 0.03, 1.40, 0.39, 1.60, 0.10, 0.60,  0,  4
NEA ,2015 FT344,K15FY4T,  0, 11,19.90, 0.15,  0.76,  0.21, 0.03, 0.04, 1.40, 0.34, 1.60, 0.10, 0.46,  0,  7
