#Ast,Name,MPC,1st,HMag,G
NEA,189700,I9700,0,19.0,0.15
NEA,190788,J0788,0,18.3,0.15
NEA,191094,J1094,0,20.1,0.15
NEA,196068,J6068,0,18.0,0.15
NEA,196625,J6625,0,20.2,0.15
NEA,199003,J9003,0,18.1,0.15
NEA,199145,J9145,0,18.2,0.15
NEA,200754,K0754,0,18.6,0.15
NEA,203015,K3015,0,18.4,0.15
NEA,203217,K3217,0,18.6,0.15
NEA,204232,K4232,0,18.4,0.15
NEA,205378,K5378,0,18.7,0.15
NEA,206359,K6359,0,18.2,0.15
NEA,207970,K7970,0,18.1,0.15
NEA,208023,K8023,0,20.4,0.15
NEA,208115,K8115,0,20.7,0.15
NEA,217430,L7430,0,19.6,0.15
NEA,222008,M2008,0,18.9,0.15
NEA,228368,M8368,0,18.4,0.15
NEA,228587,M8587,0,19.3,0.15
NEA,230420,N0420,0,18.9,0.15
NEA,231792,N1792,0,18.5,0.15
NEA,250162,P0162,0,19.3,0.15
NEA,251732,P1732,0,21.7,0.15
NEA,252373,P2373,0,18.1,0.15
NEA,253586,P3586,0,19.3,0.15
NEA,259221,P9221,0,19.2,0.15
NEA,261938,Q1938,0,20.2,0.15
NEA,264308,Q4308,0,20.3,0.15
NEA,265482,Q5482,0,21.0,0.15
NEA,267759,Q7759,0,18.8,0.15
NEA,267940,Q7940,0,20.3,0.15
NEA,274855,R4855,0,18.5,0.15
NEA,275545,R5545,0,18.1,0.15
NEA,275975,R5975,0,19.2,0.15
NEA,276111,R6111,0,18.6,0.15
NEA,276409,R6409,0,18.5,0.15
NEA,276770,R6770,0,19.8,0.15
NEA,276891,R6891,0,19.4,0.15
NEA,277127,R7127,0,18.7,0.15
NEA,277475,R7475,0,20.1,0.15
NEA,278381,R8381,0,21.9,0.15
NEA,279744,R9744,0,19.8,0.15
NEA,280244,S0244,0,18.1,0.15
NEA,280491,S0491,0,19.0,0.15
NEA,281070,S1070,0,18.7,0.15
NEA,283460,S3460,0,18.3,0.15
NEA,285331,S5331,0,18.3,0.15
NEA,285540,S5540,0,18.5,0.15
NEA,285571,S5571,0,18.1,0.15
NEA,286079,S6079,0,19.2,0.15
NEA,288592,S8592,0,20.7,0.15
NEA,292220,T2220,0,19.5,0.15
NEA,297300,T7300,0,19.2,0.15
NEA,297418,T7418,0,18.5,0.15
NEA,299582,T9582,0,18.0,0.15
NEA,301011,U1011,0,18.4,0.15
NEA,302010,U2010,0,18.7,0.15
NEA,302156,U2156,0,18.9,0.15
NEA,302169,U2169,0,19.9,0.15
NEA,302871,U2871,0,19.4,0.15
NEA,303250,U3250,0,18.2,0.15
NEA,303262,U3262,0,18.6,0.15
NEA,303933,U3933,0,19.0,0.15
NEA,304088,U4088,0,19.2,0.15
NEA,304293,U4293,0,18.8,0.15
NEA,304330,U4330,0,18.9,0.15
NEA,311554,V1554,0,18.7,0.15
NEA,312956,V2956,0,19.5,0.15
NEA,313552,V3552,0,20.9,0.15
NEA,313809,V3809,0,19.3,0.15
NEA,314212,V4212,0,18.5,0.15
NEA,315020,V5020,0,18.7,0.15
NEA,317643,V7643,0,18.2,0.15
NEA,317685,V7685,0,18.2,0.15
NEA,318050,V8050,0,18.7,0.15
NEA,318160,V8160,0,18.1,0.15
NEA,319988,V9988,0,19.5,0.15
NEA,322756,W2756,0,19.0,0.15
NEA,323300,W3300,0,19.6,0.15
NEA,326291,W6291,0,19.0,0.15
NEA,329275,W9275,0,19.9,0.15
NEA,329340,W9340,0,19.3,0.15
NEA,329520,W9520,0,19.8,0.15
NEA,331509,X1509,0,18.3,0.15
NEA,331769,X1769,0,19.8,0.15
NEA,331876,X1876,0,20.5,0.15
NEA,331990,X1990,0,19.6,0.15
NEA,332446,X2446,0,19.6,0.15
NEA,333284,X3284,0,18.1,0.15
NEA,333478,X3478,0,18.2,0.15
NEA,333521,X3521,0,19.9,0.15
NEA,333755,X3755,0,19.3,0.15
NEA,335746,X5746,0,18.3,0.15
NEA,335758,X5758,0,19.6,0.15
NEA,337053,X7053,0,19.1,0.15
NEA,337069,X7069,0,18.6,0.15
NEA,337345,X7345,0,20.6,0.15
NEA,337558,X7558,0,19.3,0.15
NEA,339714,X9714,0,20.4,0.15
NEA,339715,X9715,0,19.1,0.15
